"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_rec","B. Cooks","WR","HST","TEN","2022-10-30T20:05:00Z","4.5","over","-162","undefined","null","null","under","119","undefined","null","null"
"recv_yd","B. Cooks","WR","HST","TEN","2022-10-30T20:05:00Z","58.5","over","-116","undefined","null","null","under","-113","undefined","null","null"
"recv_rec","B. Jordan","TE","HST","TEN","2022-10-30T20:05:00Z","1.5","over","-187","undefined","null","null","under","138","undefined","null","null"
"recv_yd","B. Jordan","TE","HST","TEN","2022-10-30T20:05:00Z","17.5","over","-112","undefined","null","null","under","-117","undefined","null","null"
"recv_rec","C. Moore","WR","HST","TEN","2022-10-30T20:05:00Z","2.5","over","-171","undefined","null","null","under","128","undefined","null","null"
"recv_yd","C. Moore","WR","HST","TEN","2022-10-30T20:05:00Z","33.5","over","-112","undefined","null","null","under","-121","undefined","null","null"
"recv_rec","D. Pierce","RB","HST","TEN","2022-10-30T20:05:00Z","2.5","over","-102","undefined","null","null","under","-129","undefined","null","null"
"recv_yd","D. Pierce","RB","HST","TEN","2022-10-30T20:05:00Z","16.5","over","-111","undefined","null","null","under","-122","undefined","null","null"
"rush_att","D. Pierce","RB","HST","TEN","2022-10-30T20:05:00Z","17.5","over","-148","undefined","null","null","under","108","undefined","null","null"
"rush_recv_yd","D. Pierce","RB","HST","TEN","2022-10-30T20:05:00Z","90.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"rush_yd","D. Pierce","RB","HST","TEN","2022-10-30T20:05:00Z","73","over","-117","undefined","null","null","under","-113","undefined","null","null"
"pass_att","D. Mills","QB","HST","TEN","2022-10-30T20:05:00Z","32.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"pass_comp","D. Mills","QB","HST","TEN","2022-10-30T20:05:00Z","21.5","over","-103","undefined","null","null","under","-131","undefined","null","null"
"pass_int","D. Mills","QB","HST","TEN","2022-10-30T20:05:00Z","0.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"pass_td","D. Mills","QB","HST","TEN","2022-10-30T20:05:00Z","1.5","over","124","undefined","null","null","under","-164","undefined","null","null"
"pass_yd","D. Mills","QB","HST","TEN","2022-10-30T20:05:00Z","227.5","over","-119","0.02243835616438339","null","null","under","-113","-0.09630422535211242","null","null"
"recv_rec","J. Akins","TE","HST","TEN","2022-10-30T20:05:00Z","1.5","over","-170","undefined","null","null","under","125","undefined","null","null"
"recv_yd","J. Akins","TE","HST","TEN","2022-10-30T20:05:00Z","18.5","over","-116","undefined","null","null","under","-117","undefined","null","null"
"recv_rec","P. Dorsett","WR","HST","TEN","2022-10-30T20:05:00Z","2.5","over","119","undefined","null","null","under","-162","undefined","null","null"
